ID|English_Text|English_StageDir
LETTER_DIRKSI5_2016-02-04_13-40-18_00|Your investment has paid off. The tests are proceeding well.\r\nWe have already achieved some success:\r\nThe Dea Rosacearum matches all the requirements you listed for it.\r\nWe will just have to adjust a few values when adapting the atmosphere.\r\nAs soon as everything is ready, we will move to the extreme tests. I will have more information for you next week.\r\nAs a side note, many of the team are asking, publicly or privately, what the aim of this is. Are there any more details that you feel more willing to tell them at this time?|
LETTER_DIRKSI5_2016-02-04_13-40-10_00|Strictly Confidential|
LETTER_GARTMANNI3_2017-01-18_12-33-16_00|Instructions|
LETTER_IKENI7_2015-04-24_13-05-37_00|Offense: Taking and using the Doc's chems without payment and exhausting these supplies for his own use. Pay reparations of 100 shards to the Duke's family. \r\nW.\r\nPS: If you lay in my bed naked again, you sick pig, you will be strung up by your genitals and left to burn in the desert.|
LETTER_IKENI7_2015-04-24_13-05-20_00|Ike's Debt Certificate|
LETTER_IKENI7_2015-04-24_12-53-46_00|\r\nOffense: Waited until customers were sleeping then stole their shards. Pay 90 shards to the family of the Duke within one month as reparation. \r\nPayment in kind will be taken if you cannot comply.\r\nW.|
LETTER_IKENI7_2015-04-24_12-53-12_00|Unlicensed Theft\r\n|
LETTER_WEIDMANNX6_2015-05-07_14-41-54_00|Dear Lucy,|
LETTER_DIRKSI5_2016-02-16_08-35-04_00|After a thorough examination, your mission has been deemed a failure.\r\nWithdraw to Hort immediately and report on your return.|
LETTER_DIRKSI5_2016-02-16_09-28-47_00|My Legacy|
LETTER_DIRKSI5_2016-02-16_09-28-03_00|My own words were to catch up with me and I was rejected from the Calaan project to make way for someone else. But, by then my little project was done. With my broadcast ready and with powerful enemies, they will try to keep me quiet. I know too much. I will need to go into hiding.\r\nI have prepared for this. My salvation is assured. But, I can no longer bring others with me, the risk is too great\r\nThe blind fanatics at Infinite Skies will all die. Calaan isn't ready. The great rocket designed to take us into the skies to safety would never fly.\r\nI will tell the world what they did, that there was a chance at salvation. I will tell the truth, count down and watch as they tear themselves to pieces.|
LETTER_DIRKSI5_2015-10-02_12-12-13_00|Erik Eisenfaust's Great Deeds|
LETTER_DIRKSI5_2016-02-04_13-33-59_00|Even if I am not allowed to publicize my results, I fully intend to record the results of my research.\r\nWhat my colleagues and I discovered in these few months is a giant leap forward. I am not allowed to ask questions about the project, but it is senseless that such research is being kept secret.\r\nStill we are paid well and that is enough to not care what we are working for. And the money available here is considerable. I mean, we created a first-class research center from the ground up in months. All our equipment is cutting-edge and the security is extremely tight. It is certain we are participating in something great.\r\nOur greenhouses are the most important element of the facility:\r\nEquipped with their own climate systems, they are completely sealed off from external influences.\r\nWe can expose the plants there to any level of radiation, change the climate and the acidity of both water and soil.\r\nWe have bred many new species there. Some of these plants would not survive in the normal atmosphere. But they provide a new plant diversity that can ensure survival under the harshest conditions.|
LETTER_DIRKSI5_2015-10-29_07-18-37_00|I just heard those creatures again.\r\nI will go out and take care of those vermin myself. If you come back in the meantime and look for me, you will find me at the collapsed tunnel. I will lay the rest of our mines on the road there, that should take care of these beasts.\r\nBe back soon. |
LETTER_WEIDMANNX6_2016-02-12_09-45-56_00|Forward outpost report - We are withdrawing from this area following comms problems.\r\nThis area has seen a large number of Reaver attacks. They are a constant danger. This is the main reason our unit is returning to the relative safety of the south side, above the dam.\r\nLook for us there. \r\nSigned\r\nAlbert\r\nPS: Who actually thought that it would be a good idea to take up a position BELOW the dam for THIS MISSION?!! FUBAR\r\n|
LETTER_WEIDMANNI5_2016-11-03_10-48-11_00|Tucker's Mum|
LETTER_PANKRATZI7_2015-09-11_12-16-44_00|The Outlaw Ray, a Runner from Tavar commits to shooting down the specified Raider over Edan.\r\n \r\nHe is to target the thruster port.\r\nHe commits himself to this task and is aware of the cost of refusal.\r\n\r\nFailure will not be tolerated.\r\n\r\n\r\n(Note to myself: \r\nThe code word to trigger transformation from a jackal back to human is: ORION)|
LETTER_PANKRATZI7_2015-09-11_12-16-01_00|Pact|
