ID|English_Text|English_StageDir
INFO_DESC_WEIDMANNFX8_00000014|(Deposit compromising recording)|
INFO_DESC_WEIDMANNFX8_00000013|(Deposit Elex for the Claws)|
INFO_DESC_WEIDMANNFX8_00000012|(Deposit Mad Bob's bunker key)|
INFO_DESC_WEIDMANNFX8_00000011|(Deposit Cleric research documents)|
INFO_DESC_WEIDMANNFX8_00000010|(Deposit Fighting Colossus blueprints)|
INFO_DESC_WEIDMANNFX8_00000009|(Deposit stolen supplies)|
INFO_DESC_WEIDMANNFX8_00000008|Forget it, I won't pay. (Bargain)|
INFO_DESC_WEIDMANNFX8_00000007|I don't have enough to pay you. (Lie)|
INFO_DESC_WEIDMANNFX8_00000006|Gain Access to Thiefguild Area (Not joining)|
INFO_DESC_WEIDMANNFX8_00000005|Gain Access to KLECity Area|
INFO_DESC_WEIDMANNFX8_00000004|Gain Access to ABECity Area|
INFO_DESC_WEIDMANNFX8_00000003|Set permission to access area|
INFO_DESC_WEIDMANNFX8_00000002|The Outlaws are good people and you are their friend. (Suggest)|
INFO_DESC_WEIDMANNFX8_00000001|Calaan does not exist. Your god is a lie! (Suggest)|
INFO_DESC_End|(End)|
INFO_DESC_KALVERAMX62_00000033|Let's trade.|
INFO_DESC_KALVERAMX62_00000024|Test Routine |
INFO_DESC_KALVERAMX62_00000013|Start|
INFO_DESC_KALVERAMX62_00000003|Start|
INFO_DESC_KALVERAMX62_00000001|Test Routine |
INFO_DESC_DIRKSI5_00000001|(Manipulate security system)|
INFO_DESC_SLEEP_HIGHNOON|(Sleep until midday) |
INFO_DESC_IKENI7_00000072|Testroutine3|
INFO_DESC_IKENI7_00000071|Testroutine2|
INFO_DESC_IKENI7_00000070|Test Routine 3|
INFO_DESC_IKENI7_00000069|Test Routine 2|
INFO_DESC_IKENI7_00000068|I've found out who was doing the smuggling. (Betray Shorty)|
INFO_DESC_IKENI7_00000066|Why do you want to look at that? (Show Xander's claw)|
INFO_DESC_IKENI7_00000065|Why do you want to look at that? (Show Rat's claw)|
INFO_DESC_IKENI7_00000064|Nothing. (Hide the truth from Eva)|
INFO_DESC_IKENI7_00000063|I was robbed by Outlaws. (Lie)|
INFO_DESC_IKENI7_00000060|I know who is trying to smuggle weapons into the Domed City. (Betray Paige)|
INFO_DESC_IKENI7_00000059|No. (Lie)|
INFO_DESC_IKENI7_00000058|Think about it, they pay well. (Bribe Rider)|
INFO_DESC_IKENI7_00000057|(Place explosive)|
INFO_DESC_IKENI7_00000056|(Manipulate access rights to the Archives)|
INFO_DESC_IKENI7_00000055|Want to buy some Cleric's weapons? (Show weapons)|
INFO_DESC_IKENI7_00000054|No deal. (Attack Keith)|
INFO_DESC_IKENI7_00000053|I have what you wanted. (Hand over Arvid's teachings)|
INFO_DESC_IKENI7_00000052|I lost my ID. (Lie)|
INFO_DESC_IKENI7_00000051|I have a suspect for you. (Accuse Shorty)|
INFO_DESC_IKENI7_00000049|Here, take the shards.|
INFO_DESC_IKENI7_00000048|You want me to demand that you give me the supply? (Threaten Shorty)|
INFO_DESC_IKENI7_00000047|Here, I'll take it.|
INFO_DESC_IKENI7_00000045|Here's a grenade launcher from the farm. Is that what you wanted? (Show weapon)|
INFO_DESC_IKENI7_00000042|Brabak is right. You're a total waste of skin. (Provoke Riley)|
INFO_DESC_IKENI7_00000041|You need to learn respect for others. (Provoke Brabak)|
INFO_DESC_IKENI7_00000040|You're going to pay me. Now. (Threaten)|
INFO_DESC_IKENI7_00000039|(Recalibrate antenna and place bug)|
INFO_DESC_IKENI7_00000038|(Recalibrate antenna)|
INFO_DESC_IKENI7_00000037|No. (Don't show ID)|
INFO_DESC_IKENI7_00000036|Here it is. (Show ID)|
INFO_DESC_IKENI7_00000035|I am a Cleric, they are now my people. (Attack Radok)|
INFO_DESC_IKENI7_00000034|You are back in business. (Hand over weapons delivery)|
INFO_DESC_IKENI7_00000033|Wrong choice, now you die. (Attack)|
INFO_DESC_IKENI7_00000032|I have had enough of you. (Attack Trevor)|
INFO_DESC_IKENI7_00000031|Wrong. Your time just ran out. (Attack Trevor)|
INFO_DESC_IKENI7_00000030|Here, I found these. (Show Cleric weapons)|
INFO_DESC_IKENI7_00000029|I want my shards back. (Provoke Iron Madison)|
INFO_DESC_IKENI7_00000028|Cindy, she wants you dead. (Betray Cindy)|
INFO_DESC_IKENI7_00000027|Why do you want to look at that? (Show Katta's claw)|
INFO_DESC_IKENI7_00000026|Here is the Elexit for Frank. (Pay ransom)|
INFO_DESC_IKENI7_00000024|I'm not telling you a thing. (Provoke Iron Madison)|
INFO_DESC_IKENI7_00000023|(Hear more)|
INFO_DESC_IKENI7_00000022|(Buy Volkmar's weapon)|
INFO_DESC_IKENI7_00000021|CSGunnAmbushArena|
INFO_DESC_IKENI7_00000020|Here, how about a drink? A toast to your future in charge of the Fort. (Drug Big Jim)|
INFO_DESC_IKENI7_00000019|(Give Gunn a big chunk of shards)|
INFO_DESC_IKENI7_00000018|(Give Gunn a chunk of shards)|
INFO_DESC_IKENI7_00000017|(Give Gunn a handful of shards)|
INFO_DESC_IKENI7_00000016|We should drink to it. (Offer a beer)|
INFO_DESC_IKENI7_00000014|(Set down crate)|
INFO_DESC_IKENI7_00000013|Here, buy some yourself.|
INFO_DESC_IKENI7_00000012|Give me what you found. (Rob Ethan)|
INFO_DESC_IKENI7_00000011|Want to see what I found in the canyon? (Hand over blueprints)|
INFO_DESC_IKENI7_00000010|Well, you don't have to fight now, all you have to do is hand over everything you have. (Rob Ethan)|
INFO_DESC_IKENI7_00000008|(Say nothing)|
INFO_DESC_IKENI7_00000007|The dead don't talk. (Threaten Drog)|
INFO_DESC_IKENI7_00000006|I won't do business with you. (Attack Bigby)|
INFO_DESC_IKENI7_00000004|I brought you some bread. (Give moldy bread)|
INFO_DESC_SLEEP_MORNING|(Sleep until the morning)|
INFO_DESC_Back|(Back)|
INFO_DESC_GARTMANNI3_00000034|Pick PSI Thrower|
INFO_DESC_GARTMANNI3_00000033|Pick PSI Amplifier|
INFO_DESC_GARTMANNI3_00000032|Pick Magical Fist of Poison|
INFO_DESC_GARTMANNI3_00000031|Pick Magical Fist of Ice|
INFO_DESC_GARTMANNI3_00000030|Pick Magical Fist of Fire|
INFO_DESC_GARTMANNI3_00000029|(Add map piece 16)|
INFO_DESC_GARTMANNI3_00000028|(Add map piece 15)|
INFO_DESC_GARTMANNI3_00000027|(Add map piece 14)|
INFO_DESC_GARTMANNI3_00000026|(Add map piece 13)|
INFO_DESC_GARTMANNI3_00000025|(Add map piece 12)|
INFO_DESC_GARTMANNI3_00000024|(Add map piece 11)|
INFO_DESC_GARTMANNI3_00000023|(Add map piece 10)|
INFO_DESC_GARTMANNI3_00000022|(Add map piece 09)|
INFO_DESC_GARTMANNI3_00000021|(Add map piece 08)|
INFO_DESC_GARTMANNI3_00000020|(Add map piece 07)|
INFO_DESC_GARTMANNI3_00000019|(Add map piece 06)|
INFO_DESC_GARTMANNI3_00000018|(Add map piece 05)|
INFO_DESC_GARTMANNI3_00000017|(Add map piece 04)|
INFO_DESC_GARTMANNI3_00000016|(Add map piece 03)|
INFO_DESC_GARTMANNI3_00000015|(Add map piece 02)|
INFO_DESC_GARTMANNI3_00000014|(Add map piece 01)|
INFO_DESC_GARTMANNI3_00000013|(Dismantle weapon system)|
INFO_DESC_GARTMANNI3_00000011|How about you stop eating people and work with me? (Negotiate)|
INFO_DESC_GARTMANNI3_00000010|Kill me? It's you who's going to die. (Attack Arx)|
INFO_DESC_GARTMANNI3_00000009|Never mind. We'll talk later. (Back)|
INFO_DESC_GARTMANNI3_00000008|(Cut off head)|
INFO_DESC_GARTMANNI3_00000007|(Cut off head)|
INFO_DESC_GARTMANNI3_00000006|(Cut off head)|
INFO_DESC_GARTMANNI3_00000005|Alright. (Back)|
INFO_DESC_GARTMANNI3_00000004|CS_FalkMeetsKonrad|
INFO_DESC_GARTMANNI3_00000003|If you say so. (Back)|
INFO_DESC_GARTMANNI3_00000002|Yes. (Truth)|
INFO_DESC_GARTMANNI3_00000001|No. (Lie)|
INFO_DESC_SLEEP_MIDNIGHT|(Sleep until midnight) |
INFO_DESC_PANKRATZI7_00000230|Prepare Harley for CSGlidersLastFlight|
INFO_DESC_PANKRATZI7_00000229|Enter security code 7392.|
INFO_DESC_PANKRATZI7_00000228|Start CSPlayerSeemsToBeNoRealAlb|
INFO_DESC_PANKRATZI7_00000227|Start CSWardekAgainstElexetors|
INFO_DESC_PANKRATZI7_00000226|Start CSPlayersGliderRepair|
INFO_DESC_PANKRATZI7_00000225|Start CSPlayersGliderRepair|
INFO_DESC_PANKRATZI7_00000224|Start CSZardomMeetsTarek|
INFO_DESC_PANKRATZI7_00000223|Start CSVisionKallaxMyBrother|
INFO_DESC_PANKRATZI7_00000222|Start CSVisionSoldiersWarning|
INFO_DESC_PANKRATZI7_00000221|Start CSVisionBadAlbCommander|
INFO_DESC_PANKRATZI7_00000217|Start CSPlayerJoinOUT|
INFO_DESC_PANKRATZI7_00000216|Start CSKillWeakestElexetor|
INFO_DESC_PANKRATZI7_00000215|Start CSPlayerJoinKLE|
INFO_DESC_PANKRATZI7_00000214|Start CSTomsReconversion|
INFO_DESC_PANKRATZI7_00000213|Start CSRayShowsWaltersHideout|
INFO_DESC_PANKRATZI7_00000212|Start CSRayShowsJacksonsHideout|
INFO_DESC_PANKRATZI7_00000211|Start CSRayShowsBombysHideout|
INFO_DESC_PANKRATZI7_00000210|Start CSRayShowsMasonsHideout|
INFO_DESC_PANKRATZI7_00000209|Start CSRayShowsLeosHideout|
INFO_DESC_PANKRATZI7_00000208|Start CSPlayerJoinBSK|
INFO_DESC_PANKRATZI7_00000207|Start CS_FalkMeetsKonrad|
INFO_DESC_PANKRATZI7_00000206|Start CSConverterDown_XACW|
INFO_DESC_PANKRATZI7_00000205|Start CSConverterDown_XACE|
INFO_DESC_PANKRATZI7_00000204|Start CSConverterDown_TAV|
INFO_DESC_PANKRATZI7_00000203|Start CSConverterDown_IGN|
INFO_DESC_PANKRATZI7_00000202|Start CSConverterDown_ABEN|
INFO_DESC_PANKRATZI7_00000201|Start CSConverterDown_ABES|
INFO_DESC_PANKRATZI7_00000200|Start CSThoraldIcepalaceBattleSetup|
INFO_DESC_PANKRATZI7_00000199|Start CSUlbrichtBattleSetup|
INFO_DESC_PANKRATZI7_00000198|Start CSCajasPunishTeleport|
INFO_DESC_PANKRATZI7_00000197|Start CSDawkinsMutation|
INFO_DESC_PANKRATZI7_00000196|Start CSTheBastard|
INFO_DESC_PANKRATZI7_00000195|Start CSChapterChange4|
INFO_DESC_PANKRATZI7_00000194|Start CSMyCampPresentation|
INFO_DESC_PANKRATZI7_00000193|Start CSChapterChange3|
INFO_DESC_PANKRATZI7_00000192|Start CSChapterChange2|
INFO_DESC_PANKRATZI7_00000191|Start CSPlayerOpenedSewerTrapdoorCLA|
INFO_DESC_PANKRATZI7_00000190|Start CSNastysLocation4|
INFO_DESC_PANKRATZI7_00000189|Start CSNastysLocation3|
INFO_DESC_PANKRATZI7_00000188|Start CSNastysLocation2|
INFO_DESC_PANKRATZI7_00000187|Start CSNastysLocation1|
INFO_DESC_PANKRATZI7_00000186|Start CSRomanceNasty|
INFO_DESC_PANKRATZI7_00000185|Start CSShowdownWithKallax|
INFO_DESC_PANKRATZI7_00000184|Start CSKallaxTrap|
INFO_DESC_PANKRATZI7_00000183|Start CSShowdownWithHybrid nur über console: goto Tarek|
INFO_DESC_PANKRATZI7_00000182|Start CSGunnAmbushArena|
INFO_DESC_PANKRATZI7_00000181|Start CSChloeBustsPlayerAsThief|
INFO_DESC_PANKRATZI7_00000180|Start CSArxConjunction|
INFO_DESC_PANKRATZI7_00000179|Start CSCajasLocation4|
INFO_DESC_PANKRATZI7_00000178|Start CSCajasLocation3|
INFO_DESC_PANKRATZI7_00000177|Start CSCajasLocation2|
INFO_DESC_PANKRATZI7_00000176|Start CSCajasLocation1|
INFO_DESC_PANKRATZI7_00000175|Start CSRomanceCaja|
INFO_DESC_PANKRATZI7_00000174|Start CSPlayerBoughtNewDecorationForHome|
INFO_DESC_PANKRATZI7_00000173|Start CSPlayerBoughtCraftingbenchOUT|
INFO_DESC_PANKRATZI7_00000172|Start CSPlayerBoughtCraftingbenchBSK|
INFO_DESC_PANKRATZI7_00000171|Start CSPlayerBoughtCraftingbenchKLE|
INFO_DESC_PANKRATZI7_00000170|Start CSPlayerBoughtStandardtMerchantForHOM|
