ID|English_Text|English_StageDir
INFO_WEIDMANNX6_00009095|We've had reports of Albs on the roads around there and out along the river by the World Heart.|
INFO_WEIDMANNX6_00009094|It could be they've made those ruins their base and are sending out patrols across the area from there.|
INFO_WEIDMANNX6_00009093|The Albs have been spotted in some abandoned ruins out there.|
INFO_WEIDMANNX6_00009092|To the west, in the Valley of the Damned.|
INFO_WEIDMANNX6_00009091|Hmm, that doesn't fit the reports I have, but...if you say that is where they are.|
INFO_WEIDMANNX6_00009090|You aren't alone in that view.|
INFO_WEIDMANNX6_00009089|Well, I for one don't trust you as far as I can throw you.|
INFO_WEIDMANNX6_00009088|You'll just have to keep working on convincing me.|
INFO_WEIDMANNX6_00009087|Does that count for all of us?|
INFO_WEIDMANNX6_00009086|Once an Alb, always an Alb.|
INFO_WEIDMANNX6_00009085|There are definitely those who see us as a novelty. Which is all right as long as they also understand that we are also people.|
INFO_WEIDMANNX6_00009084|Albs who have freed themselves from the influence of the Elexetors, fascinating.|
INFO_WEIDMANNX6_00009083|This isn't our war.|
INFO_WEIDMANNX6_00009082|Albs who have become refugees in your own war.|
INFO_WEIDMANNX6_00009081|But, there are some who have...grown used to us being here.|
INFO_WEIDMANNX6_00009080|Some people make that effort more obvious than others.|
INFO_WEIDMANNX6_00009079|Tolerate. 'To permit the existence of with the implication that an effort is required to do this'.|
INFO_WEIDMANNX6_00009078|And that is what I see in this city. A chance to prove ourselves.|
INFO_WEIDMANNX6_00009077|I understand your mistrust. But, if you don't give us a chance to prove ourselves then how can this war ever end?|
INFO_WEIDMANNX6_00009076|If you still take Elex can you ever really be free?|
INFO_WEIDMANNX6_00009075|This city offered me protection, I will never betray it.|
INFO_WEIDMANNX6_00009074|No. I'm never going back. Nyra can say what she wants, but there's no way back.|
INFO_WEIDMANNX6_00009073|You should leave here. I'm sure that the Albs would take you back if you gave them information about the Dome.|
INFO_WEIDMANNX6_00009072|Someone who has already worked so long at a job that people have decided they are better organizing people than doing the actual job.|
INFO_WEIDMANNX6_00009071|What is a supervisor?|
INFO_WEIDMANNX6_00009070|Sure, let's hear it. I'd like to hear it. You want to tell me over drinks sometime, or tell us here?|
INFO_WEIDMANNX6_00009069|I didn't ask you.|
INFO_WEIDMANNX6_00009068|I'd rather swallow all the sand in Tavar than listen to her drivel.|
INFO_WEIDMANNX6_00009067|Let me think about it.|
INFO_WEIDMANNX6_00009066|There, shall I tell you then?|
