ID|English_Text|English_StageDir
QUEST_DESC_IKENI7_2015-03-02_08-34-58_00|Ragnar is the legal owner of Erik Eisenfaust's sword.|
QUEST_DESC_IKENI7_2015-04-20_07-48-39_00|Gunn gave me some poison to give to Big Jim. If Big Jim takes the chems I should be able to defeat him more easily in the Arena.|
QUEST_DESC_PANKRATZI7_2015-02-23_13-53-46_00|Duras murdered the Berserker Askor. Now I must decide Duras' fate.|
QUEST_DESC_PANKRATZI7_2015-02-20_16-49-15_00|I discovered a dead Seedling. It is clear this was Askor's Seedling. I wasn't stolen by someone from outside Edan. Killing a Seedling is a serious offense in Edan.|
QUEST_DESC_WEIDMANNX6_2015-02-13_12-39-52_00|Angrim's men, the ones who were supposed to deliver food for Sinda, are dead. I should tell her the bad news.|
QUEST_DESC_PANKRATZI7_2016-06-22_07-49-02_00|Thorald considers the Converter tools of evil. He won't help me until they are shut down. He thinks this will weaken Xacor.|
QUEST_DESC_WEIDMANNX6_2015-02-12_10-54-02_00|Angrim believes there are Clerics attempting to recover their technology from the Pit. He thinks they might try to access the Pit around midnight.|
QUEST_DESC_IKENI7_2015-03-11_09-17-46_00|Lennart wants his bow back. He lost it while hunting.|
QUEST_DESC_WEIDMANNX6_2015-02-13_12-39-22_00|Sinda is expecting food deliveries from the Valley of the Damned. Angrim's people from the Eisen Clan were supposed to help her, but they have stopped making deliveries for some reason. I should speak with Angrim to find out why.|
QUEST_DESC_IKENI7_2017-02-27_13-38-36_00|Drog's chest has sufficient room for any stolen loot.|
QUEST_DESC_WEIDMANNX6_2015-06-02_13-06-37_00|Grimar is a Mutant. Twisted by Elex, rejected by the Berserkers. Killing him might be a mercy.|
QUEST_DESC_WEIDMANNX6_2015-12-10_08-28-53_00|Hell has broken out in the Arena!|
QUEST_DESC_WEIDMANNX6_2015-02-16_14-05-59_00|Oran won't simply start serving the hammer Clan again for nothing. I should convince him that is a bad idea to ban them.|
QUEST_DESC_IKENI7_2015-04-23_09-55-43_00|Ike will compete in the Arena.|
QUEST_DESC_PANKRATZI7_2015-08-18_16-20-50_00|Eckard is a difficult man, but I think he won't object to me making Origin my base of operations.|
QUEST_DESC_WEIDMANNX6_2015-09-03_14-18-11_00|Nyra thinks the Clerics do good work but their logic is not flawless. She would rather see the city under the control of the Albs.|
