ID|English_Text|English_StageDir
QUEST_IKENI7_2015-02-27_08-38-47_00|Killed Alrik|
QUEST_IKENI7_2015-02-04_09-29-18_00|Abiding the Law|
QUEST_IKENI7_2015-01-30_11-23-25_00|Just Punishment|
QUEST_IKENI7_2017-02-16_17-13-25_00|An old buffer|
QUEST_IKENI7_2015-06-17_13-30-36_00|A Scattered Unit|
QUEST_WEIDMANNX6_2015-06-25_12-51-24_00|Old Code Doesn't Stink|
QUEST_PANKRATZI7_2015-11-25_10-44-25_00|A Price on Ray's Head|
QUEST_PANKRATZI7_2015-10-01_13-43-28_00|Difficult to Acquire|
QUEST_IKENI7_2016-06-15_12-09-02_00|Rob Mad Bob|
QUEST_IKENI7_2016-03-03_15-26-00_00|Nobody Likes Thieves|
QUEST_PANKRATZI7_2015-12-16_15-33-38_00|New Findings|
QUEST_WEIDMANNX6_2015-01-29_13-37-40_00|The Negotiator|
QUEST_IKENI7_2015-01-30_07-21-19_00|Bit Off Too Much|
QUEST_PANKRATZI7_2016-01-25_12-57-24_00|Salvation|
QUEST_PANKRATZI7_2015-05-12_14-25-23_00|The Big Bang|
QUEST_PANKRATZI7_2016-01-25_12-57-03_00|Back Home|
QUEST_PANKRATZI7_2015-02-09_14-29-24_00|Alternative Defense|
QUEST_WEIDMANNX6_2016-03-09_09-34-51_00|Killed Suggestor Guard|
QUEST_WEIDMANNX6_2016-03-09_09-34-27_00|Killed Erich|
QUEST_IKENI7_2015-09-08_07-34-27_00|Wrong Addressee|
QUEST_IKENI7_2016-01-14_07-33-26_00|The Enemy of My Enemy|
QUEST_PANKRATZI7_2015-04-23_11-44-40_00|War of the Machines|
QUEST_IKENI7_2015-01-23_09-08-29_00|Reunions Are a Happy Occasion|
QUEST_WEIDMANNX6_2015-04-16_12-44-52_00|The Bodyguard|
QUEST_PANKRATZI7_2015-02-09_12-36-59_00|Follow Duras to the City of Goliet|
QUEST_WEIDMANNX6_2015-02-06_12-52-17_00|Spoke to Kral|
QUEST_IKENI7_2016-06-14_07-56-56_00|Return to Hector|
QUEST_PANKRATZI7_2016-05-23_07-36-07_00|Patience|
QUEST_WEIDMANNX6_2015-10-23_12-04-01_00|Hidden Manipulation|
QUEST_WEIDMANNX6_2016-03-04_10-14-47_00|Prepayment|
QUEST_IKENI7_2016-03-11_08-39-53_00|The Road to Calaan - The Eighth Clue|
QUEST_IKENI7_2016-03-11_08-39-47_00|The Road to Calaan - The Seventh Clue|
QUEST_IKENI7_2016-03-11_08-39-41_00|The Road to Calaan - The Sixth Clue|
QUEST_PANKRATZI7_2016-03-03_09-48-45_00|Sestak's Rebellion|
QUEST_PANKRATZI7_2015-10-01_13-29-10_00|The Lair of the Beast|
QUEST_IKENI7_2016-03-11_08-39-34_00|The Road to Calaan - The Fifth Clue|
QUEST_IKENI7_2016-03-11_08-39-28_00|The Road to Calaan - The Fourth Clue|
QUEST_IKENI7_2016-03-11_08-39-22_00|The Road to Calaan - The Third Clue|
QUEST_PANKRATZI7_2016-03-03_09-48-28_00|Ulbricht's Resistance|
QUEST_IKENI7_2016-03-11_08-39-16_00|The Road to Calaan - The Second Clue|
QUEST_PANKRATZI7_2016-03-03_09-48-13_00|Logan's World View|
QUEST_PANKRATZI7_2015-05-12_14-18-20_00|Chosen|
QUEST_PANKRATZI7_2015-08-26_13-16-47_00|An Inverse Phase Inductor|
QUEST_IKENI7_2015-06-24_11-22-48_00|Lucky Punch|
QUEST_IKENI7_2016-01-09_10-10-39_00|Smoke out the Reavers' Nest|
QUEST_WEIDMANNX6_2015-06-24_12-38-14_00|Half Soldered Is Well Wired|
QUEST_GARTMANNI3_2016-02-01_13-56-36_00|You Have to Do Everything Yourself|
QUEST_PANKRATZI7_2015-02-09_14-12-42_00|A Berserker Warrior|
QUEST_PANKRATZI7_2016-01-08_15-38-50_00|A Tough Test|
QUEST_PANKRATZI7_2016-01-08_15-38-15_00|The Greatest Challenge|
QUEST_IKENI7_2015-01-19_10-32-26_00|Forbidden Technology|
QUEST_WEIDMANNX6_2015-02-05_09-51-23_00|A Better Offer|
QUEST_IKENI7_2015-04-20_07-45-21_00|Defeat Gunn|
QUEST_PANKRATZI7_2015-04-22_11-38-29_00|Free as a Bird|
QUEST_PANKRATZI7_2015-05-12_15-42-10_00|A Pure Field Commander|
QUEST_IKENI7_2015-01-29_14-31-50_00|An Even Bigger Mouth|
QUEST_WEIDMANNX6_2016-02-01_15-00-27_00|Let the Clerics Live|
