ID|English_Text|English_StageDir
fff8b11d|This upgraded Regent sword can be further enhanced by inserting a gemstone into it.|
fff85a02|Worn Journal|
ffefb1df|That's it.|Enemy (both human and monster) has been killed. After the fight.
ffefb1de|Now stay down.|Enemy (both human and monster) has been killed. After the fight.
ffefb1dd|That's a relief.|Enemy (both human and monster) has been killed. After the fight.
ffd8bd1b||Parrying a sword.
ffd8bd1a||Parrying a sword.
ffd8bd19||Parrying a sword.
ffd8bd18||Parrying a sword.
ffd8bd17||Parrying a sword.
ffd21542|Falk|
ffd033ca| |
ffc520aa|You won that victory honorably.|Having watched a fight, NPC likes victor
ffc520a9|He never had a chance.|Having watched a fight, NPC likes victor
ffc520a8|Well fought!|Having watched a fight, NPC likes victor
ffc24388|The best chance to find Troll's Leaf is down by the river. Arva needs at least eight plants.|
ffc117ff|Separatist|
ffc117e5|Separatist|
ffb86b49|Examine|
ffb37b9b|What are you planning to do?|Commenting on player having dangerous magic, I'm cautious.
ff930843|According to legend, this shield once belonged to the berserker Erik Eisenfaust.|
ff8f050e|Just shoot!|Watching a fight against a man, and the attacker uses a long range weapon
ff85b8a7|Replenishes mental energy.|
ff829f16|Ladder|
ff79c8eb|That was the right move.|Player leaves a private house after being spotted or leaves having been warned to put away a dangerous weapon
ff7755e4|A special weapon, custom-made for the former regent of the Clerics. Additional prisms increase the destructive power even further.|
ff760ebf|That is a bad idea.|
ff7525ae|Xander's Chest Key|
ff73cfbd|The Fort|
ff690524|Assistant|
ff5f1d9e|,|
ff5d54f8|Delete|
ff4372fd|Aarrghh...|getting up slowly after having been beaten unconscious
ff412787||
ff3fa687|That's it, leave!|Player leaves a private house after being spotted or leaves having been warned to put away a dangerous weapon
ff3dc1c3|I think I'd rather wait here.|Party member waits automatically.
ff3c6241|Kallax|
ff37a581|Nobody likes it, nobody wants it, time to get rid of it.|
ff36dd80|Why are you bothering me?|Second warning, coward character is being threatened by a human
ff2712d3|Standard version of this Alb Weapon. It might be standard, but it's still deadly.|
ff24f1de|Hermit|
ff1ba953||
ff11f8cb|Are you hard of hearing? Stop messing with that.|Second warning, player shall put his magic away
ff09efb4|That hurt.|Enemy was killed by character. Character is wounded. Pained/getting breath back
ff09efb3|I need a beer.|Enemy was killed by character. Character is wounded. Pained/getting breath back
ff052ced|Legendary Warrior's fire sword. A sword that legends are made from.|
fef62176|Stay close to me!|If the player fell behind, and the character waited for him to go on.
fef62175|Come on.|If the player fell behind, and the character waited for him to go on.
fef62174|We don't have any time to waste.|If the player fell behind, and the character waited for him to go on.
feedaac1|Berserker|
fedb6f5d|I'll take care of them.|I help you against a human enemy or monster
fedb6f5c|I'll get them!|I help you against a human enemy or monster
fedb6f5b|I've got your back.|I help you against a human enemy or monster
fed9230a|Fragmentation Grenade|
feb3e1eb|A Special Delivery|
fe94e5ce|You asshole!|Attacking after being annoyed.
fe949b6c||
fe8972fa|Test Misc Item|
fe85ce98|High-tech Sunglasses|
fe80c0b2|Moldy Bread|
fe68c03b|An Old World recording - secret instructions.|
fe68c03a|An Old World recording - instructions for a minister.|
fe68c039|An Old World recording of an angry mob.|
fe68c038|Recording of an Old World radio signal.|
"fe63aa7e|You have an important future ahead of you, I can see that.|A friendly ""I don't have to say anything to you"""
fe59915d|What are you snooping round here for?|Finding the player in a private room where he shouldn't be room, wary/annoyed/scared
fe59915c|Take anything and I'll cut bits off you. Got it?|Finding the player in a private room where he shouldn't be room, wary/annoyed/scared
fe59915b|What are you doing?|Finding the player in a private room where he shouldn't be room, wary/annoyed/scared
fe5710a4|Gain increased resilience during combat for a short time.|
fe445fda|Military supplies and logistics.|
fe445fd9|Old World letter - A confidential letter dismissing military officers.|
fe445fd8|Weapons tests.|
fe3ce210|Halt! You have been charged with a crime. Report to William, he will decide your fate.|If the player is a wanted criminal, in the Fort
fe3cb403|Halt! You have been charged with a crime. Report to Reinhold he will decide your fate.|If the player is a wanted criminal, in the Hort
fe3ca28f|Halt! You have been charged with a crime. Report to Ragnar he will decide your fate.|If the player is a wanted criminal, in Goliet
fe3c914d|Halt! You have been charged with a crime. Report to Alois, he will decide your fate.|If the player is a wanted criminal, in the Domed City
fe360c66|You will regret that!|Player attacked the character, and he is hitting back
fe238881|Plan ahead!|Watching a fight against a man, gathering around the fight
fe238880|Keep watching them!|Watching a fight against a man, gathering around the fight
fe23887f|You will need to be aggressive.|Watching a fight against a man, gathering around the fight
fe23887e|Are you ready?|Watching a fight against a man, gathering around the fight
fe19bfda|Be careful with that, okay?|Commenting on player having dangerous PSI magic, I'm cautious.
fe10d5d8|Logan|
fe079baf|I am starting to seriously doubt your sanity.|Telling player that he has done something stupid (e.g. hitting animals)
fe079bae|Are you okay?|Telling player that he has done something stupid (e.g. hitting animals)
fe079bad|Quit fucking around.|Telling player that he has done something stupid (e.g. hitting animals)
fdffc9e2|Last warning, weapons down!|Second warning for the player to put away his drawn weapon
fdf5cd68|Hey, why are you armed?|Player has a weapon, I'm cautious.
fdf39257|Jax had found a way to cooperate with the Hybrid. Would this secure Magalan's future, or doom all those who had followed him?|
fdebb227|Instructions to make Energy Reserve|
fde3732f|You need help?|Spectator of a fight, unsure if he should join in
fde3732e|You need me to step in?|Spectator of a fight, unsure if he should join in
fde3732d|What are you doing?|Spectator of a fight, unsure if he should join in
