ID|English_Text|English_StageDir
UI_SwitchProfile|Change profiles|
UI_RevertShoppingCart|Reset trade|
UI_SETTING_RefreshRate_Name|Refresh rate|
UI_LOOT_Take|Remove|
UI_ActionInput_RangedWeaponMod_Gamepad|Switch weapon mode|
UI_PutIn|Put in|
UI_CHARACTER_Items_Misc|Other|
UI_CHARACTER_Items_Food|Food|
UI_Craft|Craft|
UI_Close|Close|
UI_Apply|Apply|
UI_CHARACTER_Weapons_TwoHanded|Two-handed|
UI_SETTING_Difficulty_Stamina_Name|- Stamina cost|
UI_SETTING_Difficulty_Stamina_Desc|Modifies the stamina cost for your actions.|
UI_SETTING_FogQuality_Name|Fog Quality|
UI_SETTING_ActionTips_Name|Action hints|
UI_SETTING_EffectVolume_Name|Effects volume|
UI_TRADE_ShoppingCart_Sold|Sold|
UI_ActionInput_SecondaryAction_Melee|Parry (hold)|
UI_ActionInput_Look_Ranged|Camera/Switch target|
UI_SETTING_AutosaveInterval_Name|Auto save interval|
UI_MENU_GameOver_BackToMainMenu_Desc|Return to the main menu|
UI_CRAFTING_Weapons_Melee|Melee|
UI_MENU_LoadGame_Name|Load game|
UI_MENU_LoadGame_Desc|Load a save point|
UI_SETTING_InverseCamera_Y_Name|Invert y axis on camera|
UI_SETTING_SSAO_Name|Ambient occlusion|
UI_CHARACTER_Armor_Neck|Neck|
UI_CHARACTER_Armor_Head|Head|
UI_CHARACTER_Armor_Hand|Hand|
UI_CHARACTER_Armor_Body|Body|
UI_ActionInput_SecondaryAction_Ranged|Aim (hold)|
UI_CHARACTER_Weapons_Projectile|Guns|
UI_SETTING_InverseCamera_X_Name|Invert x axis on camera|
UI_SETTING_Stats_Name|Status screen|
UI_CHARACTER_Items_ToolsAndKeys|Tool/key|
UI_MENU_BackToMainMenu_Name|Back to the main menu|
UI_MENU_BackToMainMenu_Desc|End your current adventure and return to the main menu|
UI_CHARACTER_Quests_MissionItems|Items|
UI_SETTING_CameraSpeed_Name|Camera speed|
UI_CRAFTING_Modify|Modify Weapon|
UI_SETTING_ScreenScale_Name|Scaling|
UI_SETTING_Gamma_Name|Gamma|
UI_SETTING_DepthOfField_Name|Field depth|
UI_CHARACTER_Quests_Running|Running|
UI_CHARACTER_Items_Potions|Potions|
UI_MENU_GameOver_Continue_Desc|Load your last save point|
UI_SETTING_Output_Name|Monitor|
UI_SETTING_WorldViewRange_Name|Environment render range|
UI_MENU_EXTRAS_Shadowplay_Name|Shadowplay Highlights|
UI_MENU_EXTRAS_Shadowplay_Desc|Shows all Shadowplay Highlights Recordings|
UI_CRAFTING_Socket_Items|Stones|
UI_CRAFTING_Potions_Potions|Potions|
UI_MENU_OPTIONS_Gamma_Name|Gamma|
UI_MENU_OPTIONS_Gamma_Desc|Make a gamma correction|
